epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,18815.9,0.63332,0.34065,0.89034,0.73767,0.6748,0.71404,0.47958,1.23865,1.23051,1.24899,0.000578413,0.000578413,0.000578413
129,18962.6,0.63479,0.34003,0.88846,0.73669,0.67634,0.71331,0.48045,1.23668,1.19889,1.25551,0.00053092,0.00053092,0.00053092
130,19109.3,0.63334,0.33972,0.88874,0.73813,0.6772,0.71524,0.48142,1.23462,1.2233,1.25696,0.000485389,0.000485389,0.000485389
131,19256,0.62076,0.3373,0.8899,0.73251,0.67798,0.717,0.48227,1.24033,1.20345,1.26512,0.00044184,0.00044184,0.00044184
132,19403.8,0.63752,0.34369,0.89127,0.73255,0.68155,0.71964,0.48403,1.23923,1.20899,1.26043,0.000400294,0.000400294,0.000400294
133,19550.6,0.63277,0.34115,0.89064,0.73557,0.67847,0.71731,0.4827,1.23925,1.22931,1.24846,0.000360766,0.000360766,0.000360766
134,19697.1,0.62371,0.33511,0.8912,0.72346,0.68585,0.71371,0.48128,1.23668,1.22942,1.24132,0.000323276,0.000323276,0.000323276
135,19843.6,0.62895,0.33633,0.88908,0.7158,0.69605,0.71504,0.48144,1.23899,1.21969,1.24619,0.00028784,0.00028784,0.00028784
136,19990.2,0.63437,0.34127,0.88799,0.73996,0.66773,0.7144,0.47972,1.24099,1.21306,1.24974,0.000254473,0.000254473,0.000254473
137,20137,0.62269,0.33571,0.88998,0.74168,0.67151,0.7145,0.47975,1.23997,1.20684,1.24625,0.000223189,0.000223189,0.000223189
138,20283.5,0.62793,0.33604,0.88807,0.74225,0.67285,0.71286,0.47718,1.23917,1.21727,1.24287,0.000194003,0.000194003,0.000194003
139,20430.1,0.62255,0.33186,0.88502,0.74676,0.66801,0.71224,0.47893,1.23816,1.2204,1.24338,0.000166927,0.000166927,0.000166927
140,20576.7,0.62372,0.33452,0.88753,0.74335,0.66799,0.71125,0.47841,1.23933,1.2318,1.24024,0.000141973,0.000141973,0.000141973
141,20723.8,0.6133,0.28459,0.86821,0.73624,0.66388,0.71149,0.47604,1.2474,1.23854,1.25854,0.000119153,0.000119153,0.000119153
142,20871.3,0.60611,0.28155,0.86412,0.72982,0.67422,0.71145,0.47541,1.24974,1.22796,1.2663,9.84752e-05,9.84752e-05,9.84752e-05
143,21017.8,0.61191,0.28319,0.86833,0.72969,0.67851,0.71081,0.47465,1.24944,1.22155,1.26576,7.99498e-05,7.99498e-05,7.99498e-05
144,21164.2,0.60231,0.2806,0.86635,0.72955,0.67631,0.71302,0.47568,1.24965,1.21767,1.25799,6.35847e-05,6.35847e-05,6.35847e-05
145,21310.5,0.60141,0.27945,0.86709,0.73546,0.67243,0.71403,0.4759,1.24866,1.21585,1.2559,4.93871e-05,4.93871e-05,4.93871e-05
146,21456.9,0.59998,0.27693,0.86396,0.73347,0.67241,0.71395,0.47558,1.24901,1.21877,1.25561,3.73631e-05,3.73631e-05,3.73631e-05
147,21603.3,0.60207,0.27901,0.86541,0.73534,0.67246,0.71412,0.47694,1.24899,1.21969,1.25562,2.75182e-05,2.75182e-05,2.75182e-05
148,21749.7,0.59626,0.275,0.86234,0.73992,0.67235,0.71425,0.47732,1.24935,1.22081,1.25608,1.98565e-05,1.98565e-05,1.98565e-05
149,21896.1,0.60529,0.28032,0.86511,0.74211,0.67319,0.71418,0.47721,1.24824,1.21953,1.25511,1.43815e-05,1.43815e-05,1.43815e-05
150,22042.5,0.60023,0.27723,0.86729,0.73896,0.67083,0.71442,0.47752,1.24787,1.21859,1.25475,1.10955e-05,1.10955e-05,1.10955e-05
